biz_month,investment_real_estate_ratio,new_area_ratio,working_area_ratio,finish_area_ratio,saled_area_ratio,saled_amount_ratio
2000-02,19.80 ,43.50 ,10.60 ,27.40 ,53.30 ,60.70 
2000-03,20.40 ,34.80 ,7.80 ,13.60 ,35.70 ,42.40 
2000-04,20.90 ,33.60 ,8.00 ,10.30 ,35.80 ,40.90 
2000-05,20.80 ,33.80 ,8.00 ,15.90 ,37.80 ,41.50 
2000-06,22.40 ,32.50 ,10.10 ,21.00 ,36.70 ,38.40 
2000-07,24.10 ,32.70 ,11.60 ,19.10 ,38.00 ,38.60 
2000-08,24.30 ,32.30 ,12.80 ,21.70 ,40.10 ,42.80 
2000-09,25.00 ,31.80 ,13.50 ,22.30 ,38.90 ,40.20 
2000-10,24.60 ,31.00 ,14.40 ,18.20 ,36.10 ,36.40 
2000-11,24.10 ,31.60 ,14.20 ,20.10 ,35.30 ,38.30 
2000-12,19.50 ,30.60 ,15.30 ,16.40 ,26.90 ,30.10 
2001-02,23.00 ,30.30 ,25.50 ,13.80 ,38.00 ,54.10 
2001-03,22.90 ,29.40 ,21.60 ,29.80 ,31.40 ,48.90 
2001-04,22.80 ,29.60 ,21.50 ,34.40 ,30.00 ,45.20 
2001-05,26.50 ,31.00 ,21.70 ,26.40 ,28.30 ,44.10 
2001-06,28.20 ,33.20 ,21.20 ,17.50 ,25.90 ,39.80 
2001-07,31.60 ,36.00 ,22.30 ,18.00 ,26.90 ,40.80 
2001-08,32.10 ,36.60 ,22.70 ,20.20 ,26.60 ,38.30 
2001-09,31.40 ,37.20 ,22.80 ,19.10 ,26.60 ,36.80 
2001-10,31.40 ,34.90 ,22.50 ,18.70 ,23.30 ,33.60 
2001-11,29.70 ,32.50 ,21.60 ,17.60 ,21.60 ,29.00 
2001-12,25.30 ,27.20 ,21.50 ,18.60 ,22.30 ,29.40 
2002-02,30.20 ,30.50 ,18.30 ,10.10 ,5.20 ,0.20 
2002-03,36.20 ,26.10 ,20.90 ,20.80 ,17.70 ,16.70 
2002-04,38.80 ,28.00 ,23.50 ,19.20 ,20.70 ,19.30 
2002-05,36.70 ,22.30 ,21.90 ,18.70 ,20.30 ,16.30 
2002-06,32.90 ,19.80 ,22.20 ,20.40 ,22.50 ,22.40 
2002-07,30.70 ,18.00 ,22.70 ,24.30 ,20.80 ,22.40 
2002-08,30.00 ,17.50 ,22.10 ,26.00 ,22.30 ,25.30 
2002-09,29.40 ,18.20 ,22.10 ,26.40 ,24.00 ,31.90 
2002-10,29.80 ,19.60 ,22.50 ,27.50 ,27.60 ,35.40 
2002-11,28.20 ,19.10 ,22.60 ,28.30 ,29.80 ,37.10 
2002-12,22.00 ,17.60 ,20.10 ,19.10 ,20.20 ,23.70 
2003-02,37.00 ,49.70 ,31.60 ,74.80 ,68.90 ,76.10 
2003-03,34.90 ,35.90 ,29.00 ,45.80 ,45.20 ,52.70 
2003-04,33.50 ,31.70 ,25.80 ,38.00 ,36.40 ,46.60 
2003-05,32.90 ,32.00 ,28.10 ,41.40 ,37.50 ,47.20 
2003-06,34.00 ,31.00 ,27.90 ,40.40 ,37.40 ,44.80 
2003-07,34.10 ,29.90 ,27.90 ,37.70 ,38.00 ,43.90 
2003-08,33.10 ,31.20 ,27.70 ,32.80 ,35.00 ,41.10 
2003-09,32.80 ,30.40 ,27.80 ,34.90 ,35.90 ,41.40 
2003-10,31.30 ,29.60 ,27.60 ,33.30 ,34.00 ,40.60 
2003-11,32.50 ,29.90 ,27.30 ,29.00 ,32.00 ,38.30 
2003-12,29.70 ,28.50 ,26.00 ,21.50 ,29.10 ,34.10 
2004-02,57.10 ,32.30 ,44.60 ,30.30 ,42.70 ,47.80 
2004-03,41.10 ,22.50 ,32.80 ,21.30 ,35.40 ,44.40 
2004-04,34.60 ,19.30 ,31.00 ,22.90 ,33.30 ,42.50 
2004-05,32.00 ,18.70 ,28.70 ,21.40 ,30.90 ,44.90 
2004-06,28.70 ,15.20 ,25.80 ,15.60 ,26.30 ,40.90 
2004-07,28.60 ,14.90 ,24.30 ,12.90 ,25.20 ,41.40 
2004-08,28.80 ,13.70 ,24.30 ,11.60 ,23.00 ,39.70 
2004-09,28.30 ,12.20 ,23.30 ,9.50 ,19.30 ,34.80 
2004-10,28.90 ,11.70 ,22.30 ,9.80 ,18.00 ,31.90 
2004-11,29.20 ,11.70 ,21.70 ,11.70 ,18.50 ,33.30 
2004-12,28.10 ,10.40 ,19.20 ,2.10 ,13.70 ,30.00 
2005-02,27.00 ,1.00 ,17.20 ,21.30 ,15.40 ,37.30 
2005-03,26.70 ,9.30 ,19.20 ,13.10 ,20.30 ,35.30 
2005-04,25.90 ,12.40 ,20.00 ,13.00 ,16.00 ,30.50 
2005-05,24.30 ,11.40 ,18.80 ,13.80 ,13.90 ,24.10 
2005-06,23.50 ,10.90 ,18.80 ,16.30 ,14.00 ,25.60 
2005-07,23.50 ,13.30 ,19.80 ,24.00 ,22.90 ,34.90 
2005-08,22.30 ,13.00 ,18.90 ,24.70 ,24.30 ,35.90 
2005-09,22.20 ,13.20 ,18.70 ,19.90 ,23.00 ,33.80 
2005-10,21.60 ,12.50 ,18.50 ,19.60 ,22.20 ,33.60 
2005-11,22.20 ,12.30 ,18.50 ,18.60 ,20.80 ,33.30 
2005-12,20.90 ,10.60 ,17.10 ,14.90 ,15.70 ,30.00 
2006-02,19.70 ,28.30 ,25.70 ,44.30 ,7.80 ,14.70 
2006-03,20.20 ,22.10 ,23.30 ,35.90 ,10.20 ,13.40 
2006-04,21.30 ,21.90 ,22.10 ,31.50 ,9.40 ,13.60 
2006-05,21.80 ,20.70 ,20.90 ,24.00 ,14.70 ,21.40 
2006-06,24.20 ,21.60 ,20.90 ,20.40 ,16.50 ,24.50 
2006-07,24.00 ,17.40 ,19.20 ,11.00 ,12.60 ,21.70 
2006-08,24.00 ,16.80 ,18.50 ,8.40 ,8.90 ,18.20 
2006-09,24.30 ,18.00 ,18.90 ,8.70 ,10.50 ,18.00 
2006-10,24.10 ,18.10 ,18.80 ,8.50 ,10.90 ,17.10 
2006-11,24.00 ,18.00 ,18.40 ,8.80 ,12.00 ,17.90 
2006-12,22.10 ,15.10 ,17.10 ,-0.60 ,12.20 ,18.50 
2007-02,24.30 ,3.60 ,17.40 ,-1.10 ,0.50 ,19.40 
2007-03,26.90 ,10.60 ,20.70 ,9.50 ,12.80 ,27.40 
2007-04,27.40 ,14.70 ,21.30 ,10.40 ,16.40 ,30.00 
2007-05,27.50 ,17.40 ,21.90 ,11.60 ,16.60 ,28.50 
2007-06,28.50 ,18.40 ,21.90 ,11.10 ,21.50 ,33.80 
2007-07,28.90 ,20.60 ,22.50 ,10.00 ,25.10 ,39.20 
2007-08,29.00 ,21.60 ,22.70 ,10.10 ,29.30 ,45.60 
2007-09,30.30 ,21.60 ,22.40 ,11.00 ,32.10 ,50.50 
2007-10,31.40 ,22.60 ,22.80 ,9.10 ,31.30 ,51.50 
2007-11,31.80 ,22.90 ,23.00 ,8.50 ,30.50 ,48.70 
2007-12,30.20 ,19.40 ,21.10 ,4.30 ,23.20 ,42.10 
2008-02,32.90 ,27.20 ,32.10 ,31.60 ,-4.20 ,-4.10 
2008-03,32.30 ,25.90 ,27.50 ,26.90 ,-2.00 ,1.10 
2008-04,32.10 ,20.40 ,25.40 ,19.50 ,-4.90 ,-1.50 
2008-05,31.90 ,19.80 ,24.90 ,18.20 ,-7.20 ,-2.80 
2008-06,33.50 ,19.10 ,24.10 ,13.80 ,-7.20 ,-3.00 
2008-07,30.90 ,15.10 ,22.50 ,13.60 ,-10.80 ,-7.00 
2008-08,29.10 ,13.10 ,21.70 ,12.20 ,-14.70 ,-12.70 
2008-09,26.50 ,10.20 ,20.30 ,9.70 ,-14.90 ,-15.00 
2008-10,24.60 ,7.30 ,18.70 ,9.10 ,-16.50 ,-17.40 
2008-11,22.70 ,5.40 ,17.70 ,6.10 ,-18.30 ,-19.80 
2008-12,23.40 ,2.30 ,16.00 ,-3.50 ,-19.70 ,-19.50 
2009-02,1.00 ,-14.80 ,14.20 ,29.00 ,-0.30 ,11.20 
2009-03,4.10 ,-16.20 ,12.70 ,26.30 ,8.20 ,23.10 
2009-04,4.90 ,-15.60 ,12.40 ,27.10 ,17.50 ,35.40 
2009-05,5.80 ,-16.20 ,11.70 ,22.60 ,25.50 ,45.30 
2009-06,8.30 ,-10.40 ,12.70 ,22.20 ,31.70 ,53.00 
2009-07,9.50 ,-9.10 ,12.50 ,24.60 ,37.10 ,60.40 
2009-08,12.50 ,-5.90 ,13.50 ,25.00 ,42.90 ,69.90 
2009-09,15.40 ,-0.40 ,15.40 ,24.60 ,44.80 ,73.40 
2009-10,16.60 ,3.30 ,16.40 ,22.70 ,48.40 ,79.20 
2009-11,17.80 ,15.80 ,17.20 ,26.10 ,53.00 ,86.80 
2009-12,16.10 ,12.50 ,12.80 ,9.20 ,43.60 ,75.50 
2010-02,31.10 ,37.50 ,29.30 ,8.20 ,38.20 ,70.20 
2010-03,35.10 ,60.80 ,35.50 ,12.00 ,35.80 ,57.70 
2010-04,36.20 ,64.10 ,31.70 ,13.50 ,32.80 ,55.40 
2010-05,38.20 ,72.40 ,30.50 ,18.10 ,22.50 ,38.40 
2010-06,38.10 ,67.90 ,28.70 ,18.20 ,15.40 ,25.40 
2010-07,37.20 ,67.70 ,29.40 ,12.60 ,9.70 ,16.80 
2010-08,36.70 ,66.10 ,29.10 ,10.70 ,6.70 ,12.60 
2010-09,36.40 ,63.10 ,28.10 ,10.40 ,8.20 ,15.90 
2010-10,36.50 ,61.90 ,28.30 ,11.40 ,9.10 ,17.30 
2010-11,36.50 ,48.70 ,28.60 ,9.60 ,9.80 ,17.50 
2010-12,33.20 ,40.70 ,26.60 ,4.50 ,10.10 ,18.30 
2011-02,35.20 ,27.90 ,39.00 ,13.90 ,13.80 ,27.40 
2011-03,34.10 ,23.40 ,35.20 ,15.40 ,14.90 ,27.30 
2011-04,34.30 ,24.40 ,33.20 ,14.00 ,6.30 ,13.30 
2011-05,34.60 ,23.80 ,32.40 ,12.90 ,9.10 ,18.10 
2011-06,32.90 ,23.60 ,31.60 ,12.80 ,12.90 ,24.10 
2011-07,33.60 ,24.90 ,30.80 ,13.40 ,13.60 ,26.10 
2011-08,33.20 ,25.80 ,30.50 ,14.70 ,13.60 ,25.90 
2011-09,32.00 ,23.70 ,29.70 ,17.80 ,12.90 ,23.20 
2011-10,31.10 ,21.70 ,28.40 ,18.50 ,10.00 ,18.50 
2011-11,29.90 ,20.50 ,27.90 ,22.30 ,8.50 ,16.00 
2011-12,27.90 ,16.20 ,25.30 ,13.30 ,4.90 ,12.10 
2012-02,27.80 ,5.10 ,35.50 ,45.20 ,-14.00 ,-20.90 
2012-03,23.50 ,0.30 ,25.00 ,39.30 ,-13.60 ,-14.60 
2012-04,18.70 ,-4.20 ,21.20 ,30.20 ,-13.40 ,-11.80 
2012-05,18.50 ,-4.30 ,19.60 ,26.30 ,-12.40 ,-9.10 
2012-06,16.60 ,-7.10 ,17.20 ,20.70 ,-10.00 ,-5.20 
2012-07,15.40 ,-9.80 ,15.30 ,19.00 ,-6.60 ,-0.50 
2012-08,15.60 ,-6.80 ,15.60 ,20.20 ,-4.10 ,2.20 
2012-09,15.40 ,-8.60 ,14.00 ,16.40 ,-4.00 ,2.70 
2012-10,15.40 ,-8.50 ,13.30 ,17.30 ,-1.10 ,5.60 
2012-11,16.70 ,-7.20 ,13.30 ,14.10 ,2.40 ,9.10 
2012-12,16.20 ,-7.30 ,13.20 ,7.30 ,1.80 ,10.00 
2013-02,22.80 ,14.70 ,15.30 ,34.00 ,49.50 ,77.60 
2013-03,20.20 ,-2.70 ,17.00 ,8.90 ,37.10 ,61.30 
2013-04,21.10 ,1.90 ,17.20 ,6.60 ,38.00 ,59.80 
2013-05,20.60 ,1.00 ,16.00 ,5.30 ,35.60 ,52.80 
2013-06,20.30 ,3.80 ,15.50 ,6.30 ,28.70 ,43.20 
2013-07,20.50 ,8.40 ,16.20 ,7.90 ,25.80 ,37.80 
2013-08,19.30 ,4.00 ,14.40 ,4.60 ,23.40 ,34.40 
2013-09,19.70 ,7.30 ,15.00 ,4.20 ,23.30 ,33.90 
2013-10,19.20 ,6.50 ,14.60 ,1.80 ,21.80 ,32.30 
2013-11,19.50 ,11.50 ,16.10 ,2.50 ,20.80 ,30.70 
2013-12,19.80 ,13.50 ,16.10 ,2.00 ,17.30 ,26.30 
2014-02,19.30 ,-27.40 ,16.30 ,-8.20 ,-0.10 ,-3.70 
2014-03,16.80 ,-25.20 ,14.20 ,-4.90 ,-3.80 ,-5.20 
2014-04,16.40 ,-22.10 ,12.80 ,-0.30 ,-6.90 ,-7.80 
2014-05,14.70 ,-18.60 ,12.00 ,6.80 ,-7.80 ,-8.50 
2014-06,14.10 ,-16.40 ,11.30 ,8.10 ,-6.00 ,-6.70 
2014-07,13.70 ,-12.80 ,11.30 ,4.50 ,-7.60 ,-8.20 
2014-08,13.20 ,-10.50 ,11.50 ,6.70 ,-8.30 ,-8.90 
2014-09,12.50 ,-9.30 ,11.50 ,7.20 ,-8.60 ,-8.90 
2014-10,12.40 ,-5.50 ,12.30 ,7.60 ,-7.80 ,-7.90 
2014-11,11.90 ,-9.00 ,10.10 ,8.10 ,-8.20 ,-7.80 
2014-12,10.50 ,-10.70 ,9.20 ,5.90 ,-7.60 ,-6.30 
2015-02,10.40 ,-17.70 ,7.60 ,-12.90 ,-16.30 ,-15.80 
2015-03,8.50 ,-18.40 ,6.80 ,-8.20 ,-9.20 ,-9.30 
2015-04,6.00 ,-17.30 ,6.20 ,-10.50 ,-4.80 ,-3.10 
2015-05,5.10 ,-16.00 ,5.30 ,-13.30 ,-0.20 ,3.10 
2015-06,4.60 ,-15.80 ,4.30 ,-13.80 ,3.90 ,10.00 
2015-07,4.30 ,-16.80 ,3.40 ,-13.10 ,6.10 ,13.40 
2015-08,3.50 ,-16.80 ,2.50 ,-14.60 ,7.20 ,15.30 
2015-09,2.60 ,-12.60 ,3.00 ,-9.80 ,7.50 ,15.30 
2015-10,2.00 ,-13.90 ,2.30 ,-4.20 ,7.20 ,14.90 
2015-11,1.30 ,-14.70 ,1.80 ,-3.50 ,7.40 ,15.60 
2015-12,1.00 ,-14.00 ,1.30 ,-6.90 ,6.50 ,14.40 
2016-02,3.00 ,13.70 ,5.90 ,28.90 ,28.20 ,43.60 
2016-03,6.20 ,19.20 ,5.80 ,17.70 ,33.10 ,54.10 
2016-04,7.20 ,21.40 ,5.80 ,20.10 ,36.50 ,55.90 
2016-05,7.00 ,18.30 ,5.60 ,20.40 ,33.20 ,50.70 
2016-06,6.10 ,14.90 ,5.00 ,20.00 ,27.90 ,42.10 
2016-07,5.30 ,13.70 ,4.80 ,21.30 ,26.40 ,39.80 
2016-08,5.40 ,12.20 ,4.60 ,19.10 ,25.50 ,38.70 
2016-09,5.80 ,6.80 ,3.20 ,12.10 ,26.90 ,41.30 
2016-10,6.60 ,8.10 ,3.30 ,6.60 ,26.80 ,41.20 
2016-11,6.50 ,7.60 ,2.90 ,6.40 ,24.30 ,37.50 
2016-12,6.90 ,8.10 ,3.20 ,6.10 ,22.50 ,34.80 
2017-02,8.90 ,10.40 ,3.20 ,15.80 ,25.10 ,26.00 
2017-03,9.10 ,11.60 ,3.10 ,15.10 ,19.50 ,25.10 
2017-04,9.30 ,11.10 ,3.10 ,10.60 ,15.70 ,20.10 
2017-05,8.80 ,9.50 ,3.10 ,5.90 ,14.30 ,18.60 
2017-06,8.50 ,10.60 ,3.40 ,5.00 ,16.10 ,21.50 
2017-07,7.90 ,8.00 ,3.20 ,2.40 ,14.00 ,18.90 
2017-08,7.90 ,7.60 ,3.10 ,3.40 ,12.70 ,17.20 
2017-09,8.10 ,6.80 ,3.10 ,1.00 ,10.30 ,14.60 
2017-10,7.80 ,5.60 ,2.90 ,0.60 ,8.20 ,12.60 
2017-11,7.50 ,6.90 ,3.10 ,-1.00 ,7.90 ,12.70 
2017-12,7.00 ,7.00 ,3.00 ,-4.40 ,7.70 ,13.70 
2018-02,9.90 ,2.90 ,1.50 ,-12.10 ,4.10 ,15.30 
2018-03,10.40 ,9.70 ,1.50 ,-10.10 ,3.60 ,10.40 
2018-04,10.30 ,7.30 ,1.60 ,-10.70 ,1.30 ,9.00 
2018-05,10.20 ,10.80 ,2.00 ,-10.10 ,2.90 ,11.80 
2018-06,9.70 ,11.80 ,2.50 ,-10.60 ,3.30 ,13.20 
2018-07,10.20 ,14.40 ,3.00 ,-10.50 ,4.20 ,14.40 
2018-08,10.10 ,15.90 ,3.60 ,-11.60 ,4.00 ,14.50 
2018-09,9.90 ,16.40 ,3.90 ,-11.40 ,2.90 ,13.30 
2018-10,9.70 ,16.30 ,4.30 ,-12.50 ,2.20 ,12.50 
2018-11,9.70 ,16.80 ,4.70 ,-12.30 ,1.40 ,12.10 
2018-12,9.50 ,17.20 ,5.20 ,-7.80 ,1.30 ,12.20 
2019-02,11.60 ,6.00 ,6.80 ,-11.90 ,-3.60 ,2.80 
2019-03,11.80 ,11.90 ,8.20 ,-10.80 ,-0.90 ,5.60 
2019-04,11.90 ,13.10 ,8.80 ,-10.30 ,-0.30 ,8.10 
2019-05,11.20 ,10.50 ,8.80 ,-12.40 ,-1.60 ,6.10 
2019-06,10.90 ,10.10 ,8.80 ,-12.70 ,-1.80 ,5.60 
2019-07,10.60 ,9.50 ,9.00 ,-11.30 ,-1.30 ,6.20 
2019-08,10.50 ,8.90 ,8.80 ,-10.00 ,-0.60 ,6.70 
2019-09,10.50 ,8.60 ,8.70 ,-8.60 ,-0.10 ,7.10 
2019-10,10.30 ,10.00 ,9.00 ,-5.50 ,0.10 ,7.30 
2019-11,10.20 ,8.60 ,8.70 ,-4.50 ,0.20 ,7.30 
2019-12,9.90 ,8.50 ,8.70 ,2.60 ,-0.10 ,6.50 
2020-02,-16.30 ,-44.90 ,2.90 ,-22.90 ,-39.90 ,-35.90 
2020-03,-7.70 ,-27.20 ,2.60 ,-15.80 ,-26.30 ,-24.70 
2020-04,-3.30 ,-18.40 ,2.50 ,-14.50 ,-19.30 ,-18.60 
2020-05,-0.30 ,-12.80 ,2.30 ,-11.30 ,-12.30 ,-10.60 
2020-06,1.90 ,-7.60 ,2.60 ,-10.50 ,-8.40 ,-5.40 
2020-07,3.40 ,-4.50 ,3.00 ,-10.90 ,-5.80 ,-2.10 
2020-08,4.60 ,-3.60 ,3.30 ,-10.80 ,-3.30 ,1.60 
2020-09,5.60 ,-3.40 ,3.10 ,-11.60 ,-1.80 ,3.70 
2020-10,6.30 ,-2.60 ,3.00 ,-9.20 ,0.00 ,5.80 
2020-11,6.80 ,-2.00 ,3.20 ,-7.30 ,1.30 ,7.20 
2020-12,7.00 ,-1.20 ,3.70 ,-4.90 ,2.60 ,8.70 
2021-02,38.30 ,64.30 ,11.00 ,40.40 ,104.90 ,133.40 
2021-03,25.60 ,28.20 ,11.20 ,22.90 ,63.80 , 88.50